Exp or Imp,Year,Country,Value-Year,Value-Jan,Value-Feb,Value-Mar,Value-Apr,Value-May,Value-Jun,Value-Jul,Value-Aug,Value-Sep,Value-Oct,Value-Nov,Value-Dec
1,2023,601,1726729798,173745163,182378345,202542344,179861154,132263378,231166189,198583440,181870578,244319207,0,0,0
1,2023,602,22554835,1945938,1613471,3124455,2510142,2047966,3262993,2683130,1613725,3753015,0,0,0
1,2023,605,97734,0,0,29907,8569,5613,3555,11545,11575,26970,0,0,0
1,2023,606,301196077,23714027,26634988,35703629,30210170,32754790,37335044,35800956,31001627,48040846,0,0,0
1,2023,607,190926,28407,18708,23981,13049,17772,45122,3481,11774,28632,0,0,0
1,2023,609,20010,0,0,0,0,14780,0,527,4334,369,0,0,0
1,2023,610,1844612,60654,178121,207323,290754,128734,263423,268134,143178,304291,0,0,0
1,2023,611,1376549,105075,106959,64365,322134,267850,143121,163856,49610,153579,0,0,0
1,2023,612,7773009,403902,669372,1034373,715107,761920,714231,1169302,1066612,1238190,0,0,0
1,2023,613,1907543,110597,298642,167479,216364,182783,292397,193724,117412,328145,0,0,0
1,2023,614,930499,50060,93578,109438,126253,126019,135419,107713,65836,116183,0,0,0
1,2023,615,1344211,40719,82040,776870,136271,13674,95718,19731,105627,73561,0,0,0
1,2023,617,1036876,21635,391388,250662,236992,73686,2429,44683,5791,9610,0,0,0
1,2023,618,5418485,128567,1148817,320028,601699,822052,439130,699604,631155,627433,0,0,0
1,2023,619,2316853,115502,260657,156254,298202,517651,109443,454883,147511,256750,0,0,0
1,2023,620,14394288,728717,617935,1128801,1039036,4352381,1743982,952369,761102,3069965,0,0,0
1,2023,621,266598,6551,34860,34969,22288,20523,31564,34922,28078,52843,0,0,0
1,2023,622,2790,0,0,0,0,0,2790,0,0,0,0,0,0
1,2023,624,1236581,2307,349285,626496,190000,3653,27771,9520,3695,23854,0,0,0
1,2023,625,136004741,7612756,17715282,27333205,20743069,5243534,12053585,17066951,18860414,9375945,0,0,0
1,2023,626,1523040,153528,108292,177089,131677,192161,162612,216566,151300,229815,0,0,0
1,2023,627,1849779,89384,135096,218321,171387,536437,236100,145858,140057,177139,0,0,0
1,2023,628,1206320,65248,91928,98442,70710,90027,418229,111388,94526,165822,0,0,0
